Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
353000	35.300000	0.098871	8.156846	-148.719390	-140.562544	0.000004	0.000040	1.760397	1.951781	1.920541	1.000000
354000	35.400000	0.098186	8.100340	-148.004762	-139.904422	0.000004	0.000040	1.763586	1.949646	1.922084	1.000000
355000	35.500000	0.100814	8.317164	-147.547398	-139.230233	0.000004	0.000040	1.773178	1.950807	1.926441	1.000000
356000	35.600000	0.099933	8.244476	-147.508641	-139.264166	0.000004	0.000040	1.784881	1.957483	1.933542	1.000000
357000	35.700000	0.101114	8.341889	-148.429604	-140.087715	0.000004	0.000040	1.791100	1.964324	1.939170	1.000000
360000	36.000000	0.099525	8.210828	-148.617369	-140.406541	0.000004	0.000040	1.761345	1.952562	1.921634	1.000000
361000	36.100000	0.103411	8.531423	-149.331568	-140.800145	0.000004	0.000040	1.753523	1.940017	1.911678	1.000000
362000	36.200000	0.099509	8.209490	-150.340796	-142.131306	0.000004	0.000040	1.754067	1.925689	1.903366	1.000000
363000	36.300000	0.100085	8.256996	-150.045551	-141.788555	0.000004	0.000040	1.755914	1.912629	1.895914	1.000000
364000	36.400000	0.101648	8.385943	-150.936838	-142.550895	0.000004	0.000040	1.754883	1.905276	1.890927	1.000000
365000	36.500000	0.097099	8.010704	-150.200801	-142.190097	0.000004	0.000040	1.749278	1.901261	1.886011	1.000000
377000	37.700000	0.099741	8.228597	-148.165243	-139.936647	0.000004	0.000040	1.755440	1.873651	1.868674	1.000000
379000	37.900000	0.095770	7.900994	-147.588408	-139.687414	0.000004	0.000040	1.720924	1.889337	1.864050	1.000000
384000	38.400000	0.101613	8.383032	-149.804528	-141.421496	0.000004	0.000040	1.756556	1.872699	1.870388	1.000000
385000	38.500000	0.097908	8.077442	-150.276495	-142.199053	0.000004	0.000040	1.751024	1.869195	1.865628	1.000000
389000	38.900000	0.101659	8.386851	-149.781848	-141.394997	0.000004	0.000040	1.739242	1.883794	1.868902	1.000000
390000	39.000000	0.099114	8.176903	-150.118615	-141.941712	0.000004	0.000040	1.736286	1.881618	1.865618	1.000000
392000	39.200000	0.101474	8.371634	-152.782858	-144.411223	0.000004	0.000040	1.727304	1.875102	1.857815	1.000000
395000	39.500000	0.101473	8.371518	-152.672989	-144.301471	0.000004	0.000040	1.712014	1.860905	1.842566	1.000000
397000	39.700000	0.100477	8.289334	-152.668893	-144.379559	0.000004	0.000040	1.727544	1.865815	1.851781	1.000000
400000	40.000000	0.099424	8.202475	-148.937890	-140.735415	0.000004	0.000040	1.743832	1.881875	1.868142	1.000000
403000	40.300000	0.100316	8.276063	-151.746040	-143.469978	0.000004	0.000040	1.741385	1.887315	1.870763	1.000000
405000	40.500000	0.100900	8.324239	-150.944620	-142.620381	0.000004	0.000040	1.741522	1.875851	1.863950	1.000000
408000	40.800000	0.097093	8.010143	-150.176326	-142.166183	0.000004	0.000040	1.742047	1.878834	1.866431	1.000000
409000	40.900000	0.101886	8.405558	-151.011880	-142.606322	0.000004	0.000040	1.731250	1.883821	1.865253	1.000000
413000	41.300000	0.101734	8.393029	-150.148952	-141.755923	0.000004	0.000040	1.730467	1.889691	1.868306	1.000000
414000	41.400000	0.100093	8.257633	-149.436392	-141.178758	0.000004	0.000040	1.744609	1.892418	1.874646	1.000000
415000	41.500000	0.100565	8.296588	-151.759039	-143.462451	0.000004	0.000040	1.757880	1.895202	1.881247	1.000000
417000	41.700000	0.098830	8.153485	-149.582901	-141.429416	0.000004	0.000040	1.758018	1.890383	1.879241	1.000000
418000	41.800000	0.101461	8.370501	-150.816476	-142.445975	0.000004	0.000040	1.756504	1.885791	1.875270	1.000000
419000	41.900000	0.099105	8.176178	-152.174803	-143.998624	0.000004	0.000040	1.753039	1.881242	1.871349	1.000000
420000	42.000000	0.099316	8.193558	-150.681911	-142.488352	0.000004	0.000040	1.740382	1.879552	1.866042	1.000000
421000	42.100000	0.100645	8.303211	-152.041555	-143.738344	0.000004	0.000040	1.725415	1.883715	1.862703	1.000000
422000	42.200000	0.099063	8.172670	-148.947325	-140.774655	0.000004	0.000040	1.718318	1.890015	1.863176	1.000000
423000	42.300000	0.100375	8.280969	-150.814050	-142.533080	0.000004	0.000040	1.722591	1.898221	1.869384	1.000000
424000	42.400000	0.100879	8.322552	-149.312290	-140.989738	0.000004	0.000040	1.733618	1.902088	1.875245	1.000000
